home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result
Richards Bay,Golden Arrows,0,0,FINISHED,2025-05-17,1557298,Matchday 29,2024-2025,1557298,D
Marumo Gallants,Chippa United,1,1,FINISHED,2025-05-17,1557301,Matchday 29,2024-2025,1557301,D
Sekhukhune United,Kaizer Chiefs,1,1,FINISHED,2025-05-17,1557377,Matchday 29,2024-2025,1557377,D
Orlando Pirates,TS Galaxy,1,1,FINISHED,2025-05-17,1557300,Matchday 29,2024-2025,1557300,D
Stellenbosch,Siwelele,2,1,FINISHED,2025-05-17,1557297,Matchday 29,2024-2025,1557297,H
Royal AM,AmaZulu,,,UPCOMING,2025-05-17,1557303,Matchday 29,2024-2025,1557303,
Mamelodi Sundowns,Magesi,2,0,FINISHED,2025-05-18,1557296,Matchday 29,2024-2025,1557296,H
Chippa United,Mamelodi Sundowns,0,3,FINISHED,2025-05-14,1557292,Matchday 30,2024-2025,1557292,A
AmaZulu,Orlando Pirates,1,1,FINISHED,2025-05-24,1557304,Matchday 30,2024-2025,1557304,D
Siwelele,Richards Bay,0,2,FINISHED,2025-05-24,1557289,Matchday 30,2024-2025,1557289,A
Cape Town City,Stellenbosch,0,0,FINISHED,2025-05-24,1557294,Matchday 30,2024-2025,1557294,D
Golden Arrows,Sekhukhune United,3,2,FINISHED,2025-05-24,1557295,Matchday 30,2024-2025,1557295,H
Kaizer Chiefs,Polokwane City,0,0,FINISHED,2025-05-24,1557291,Matchday 30,2024-2025,1557291,D
Magesi,Marumo Gallants,1,1,FINISHED,2025-05-24,1557290,Matchday 30,2024-2025,1557290,D
TS Galaxy,Royal AM,,,UPCOMING,2025-05-24,1557293,Matchday 30,2024-2025,1557293,
