home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Marumo Gallants,Sekhukhune United,1,2,FINISHED,12/03/2025,1557353,Matchday 22,2024-2025
Royal AM,Siwelele FC,,,UPCOMING,14/03/2025,1557351,Matchday 23,2024-2025
AmaZulu FC,TS Galaxy,1,2,FINISHED,14/03/2025,1557350,Matchday 23,2024-2025
Magesi,Golden Arrows,1,0,FINISHED,15/03/2025,1557349,Matchday 23,2024-2025
Cape Town City,Marumo Gallants,0,1,FINISHED,15/03/2025,1557364,Matchday 23,2024-2025
Chippa United FC,Polokwane City,2,0,FINISHED,15/03/2025,1557319,Matchday 23,2024-2025
Richards Bay,Kaizer Chiefs,2,0,FINISHED,16/03/2025,1557285,Matchday 23,2024-2025
Orlando Pirates,Mamelodi Sundowns,2,1,FINISHED,16/03/2025,1557272,Matchday 23,2024-2025
Sekhukhune United,Stellenbosch,1,2,FINISHED,16/03/2025,1557284,Matchday 23,2024-2025
Stellenbosch,Magesi,2,1,FINISHED,25/02/2025,1557280,Matchday 24,2024-2025
Sekhukhune United,Mamelodi Sundowns,2,4,FINISHED,26/02/2025,1557281,Matchday 24,2024-2025
Golden Arrows,Kaizer Chiefs,2,1,FINISHED,29/03/2025,1557278,Matchday 24,2024-2025
Chippa United FC,AmaZulu FC,2,1,FINISHED,29/03/2025,1557283,Matchday 24,2024-2025
Orlando Pirates,Royal AM,,,UPCOMING,29/03/2025,1557282,Matchday 24,2024-2025
Polokwane City,Richards Bay,3,1,FINISHED,30/03/2025,1557279,Matchday 24,2024-2025
TS Galaxy,Marumo Gallants,1,2,FINISHED,30/03/2025,1557276,Matchday 24,2024-2025
Siwelele FC,Cape Town City,0,0,FINISHED,30/03/2025,1557277,Matchday 24,2024-2025
AmaZulu FC,Richards Bay,1,0,FINISHED,04/04/2025,1557275,Matchday 25,2024-2025
Polokwane City,Orlando Pirates,0,1,FINISHED,05/04/2025,1557269,Matchday 25,2024-2025
Golden Arrows,Chippa United FC,0,0,FINISHED,05/04/2025,1557288,Matchday 25,2024-2025
Marumo Gallants,Siwelele FC,1,1,FINISHED,05/04/2025,1557273,Matchday 25,2024-2025
Kaizer Chiefs,TS Galaxy,1,1,FINISHED,05/04/2025,1557287,Matchday 25,2024-2025
Royal AM,Magesi,,,UPCOMING,05/04/2025,1557270,Matchday 25,2024-2025
Cape Town City,Sekhukhune United,1,2,FINISHED,06/04/2025,1557268,Matchday 25,2024-2025
Mamelodi Sundowns,Stellenbosch,3,0,FINISHED,11/05/2025,1557271,Matchday 25,2024-2025
Stellenbosch,AmaZulu FC,1,0,FINISHED,15/04/2025,1557262,Matchday 26,2024-2025
Royal AM,Mamelodi Sundowns,,,UPCOMING,18/04/2025,1557267,Matchday 26,2024-2025
Richards Bay,Cape Town City,1,0,FINISHED,18/04/2025,1557266,Matchday 26,2024-2025
Marumo Gallants,Golden Arrows,1,1,FINISHED,19/04/2025,1557265,Matchday 26,2024-2025
Chippa United FC,Kaizer Chiefs,0,0,FINISHED,19/04/2025,1557264,Matchday 26,2024-2025
Sekhukhune United,Polokwane City,2,0,FINISHED,19/04/2025,1557263,Matchday 26,2024-2025
Magesi,TS Galaxy,2,1,FINISHED,20/04/2025,1557261,Matchday 26,2024-2025
Siwelele FC,Orlando Pirates,0,1,FINISHED,20/05/2025,1557260,Matchday 26,2024-2025
Kaizer Chiefs,Marumo Gallants,1,2,FINISHED,26/04/2025,1557274,Matchday 27,2024-2025
Golden Arrows,AmaZulu FC,0,1,FINISHED,26/04/2025,1557313,Matchday 27,2024-2025
